finding_count_total,finding_count_bug,finding_count_security,finding_count_code_smell,finding_count_high_severity,finding_count_medium_severity,finding_count_low_severity,bandit_finding_count,semgrep_finding_count,cyclomatic_complexity_max,cyclomatic_complexity_avg,maintainability_index,nesting_depth_max,sloc,function_length_max,function_length_avg,dangerous_sink_count,hardcoded_secret_count,import_risk_flag,has_test_file,label
5,2,2,1,2,2,1,1,4,10.0,7.13,11.91,4,86,38,38.0,1,0,1,0,high
0,0,0,0,0,0,0,0,0,1.0,0.93,59.95,1,8,21,21.0,0,0,0,0,low
2,1,1,0,0,2,0,1,1,5.0,4.6,69.51,3,37,41,41.0,0,0,1,0,medium
5,2,3,0,2,2,1,3,2,11.0,8.68,62.19,3,48,46,30.666666666666668,0,0,0,0,high
4,1,1,2,0,2,2,2,2,8.0,5.37,13.42,4,67,46,37.0,0,0,0,0,medium
2,1,1,0,0,1,1,0,2,9.0,8.55,16.09,3,38,43,42.0,0,0,0,0,medium
5,1,3,1,0,3,2,1,4,3.0,1.68,17.26,3,80,37,28.666666666666668,0,0,0,0,medium
1,0,1,0,1,0,0,0,1,5.0,4.13,65.12,4,31,45,38.5,1,0,0,0,high
3,0,3,0,2,0,1,0,3,12.0,7.71,82.99,4,88,65,59.5,0,0,0,0,critical
2,0,0,2,0,0,2,1,1,4.0,2.78,34.22,2,10,20,20.0,0,0,0,0,low
1,0,1,0,0,0,1,1,0,1.0,0.58,33.04,0,6,15,13.5,0,0,0,0,low
2,0,2,0,0,1,1,2,0,8.0,4.99,12.2,2,54,27,21.0,0,0,0,0,medium
2,1,1,0,1,1,0,1,1,7.0,4.62,21.1,5,94,23,23.0,0,1,0,0,high
0,0,0,0,0,0,0,0,0,1.0,0.84,72.61,1,26,21,18.0,0,0,0,0,low
0,0,0,0,0,0,0,0,0,4.0,3.35,10.95,2,11,22,21.0,0,0,0,0,low
2,1,1,0,0,2,0,0,2,4.0,3.3,74.56,3,61,25,20.0,0,0,0,0,medium
0,0,0,0,0,0,0,0,0,3.0,2.21,74.81,0,39,14,11.5,0,0,0,0,low
5,0,4,1,2,1,2,4,1,9.0,5.16,75.71,3,74,56,42.666666666666664,0,0,0,0,high
2,1,1,0,1,1,0,1,1,12.0,6.16,57.91,7,56,49,49.0,0,0,0,0,critical
3,1,2,0,0,3,0,1,2,6.0,3.96,60.08,2,66,40,33.5,0,0,0,0,medium
0,0,0,0,0,0,0,0,0,1.0,0.76,81.67,3,47,0,0.0,0,0,1,0,low
3,0,3,0,0,2,1,0,3,7.0,3.66,62.03,2,34,36,23.333333333333332,0,0,0,0,medium
4,1,3,0,0,3,1,3,1,9.0,5.11,20.55,1,67,41,28.0,0,0,0,0,medium
2,1,1,0,0,2,0,2,0,5.0,4.26,44.4,1,26,49,37.0,0,0,1,0,medium
1,0,0,1,0,0,1,1,0,1.0,0.98,23.6,2,38,16,11.0,0,0,0,0,low
1,1,0,0,0,1,0,1,0,9.0,7.39,18.92,3,30,25,25.0,0,0,0,0,medium
3,1,2,0,1,2,0,3,0,16.0,12.61,60.59,7,125,69,55.5,1,0,0,0,critical
6,2,4,0,2,2,2,2,4,6.0,5.28,71.91,3,69,52,44.5,0,2,0,0,high
6,1,4,1,2,2,2,6,0,9.0,5.78,14.87,4,95,54,54.0,0,0,0,0,high
4,1,3,0,0,3,1,4,0,7.0,3.97,74.29,4,33,37,30.0,0,0,0,0,medium
5,0,5,0,2,2,1,5,0,8.0,4.95,60.17,5,140,52,52.0,1,0,1,0,critical
2,1,1,0,0,1,1,1,1,10.0,5.39,61.77,4,41,38,28.0,0,0,0,0,medium
2,1,1,0,0,1,1,0,2,5.0,3.41,34.3,2,17,26,16.666666666666668,0,0,0,0,medium
2,0,2,0,1,0,1,1,1,5.0,4.01,10.03,3,46,20,20.0,0,2,0,0,high
3,0,3,0,2,0,1,3,0,8.0,5.47,53.66,5,88,36,32.0,2,0,0,0,critical
0,0,0,0,0,0,0,0,0,6.0,5.03,66.69,0,43,20,20.0,0,0,1,0,low
6,1,4,1,2,2,2,4,2,19.0,15.89,19.24,3,73,79,58.5,1,0,0,0,critical
2,0,1,1,0,1,1,1,1,6.0,5.72,14.26,2,63,15,15.0,0,0,0,0,medium
2,1,0,1,0,1,1,0,2,10.0,7.32,84.93,4,69,23,23.0,0,0,0,0,medium
2,1,1,0,0,2,0,1,1,9.0,5.67,75.55,3,32,33,22.0,0,0,0,0,medium
4,2,0,2,0,2,2,1,3,5.0,3.86,58.77,3,30,50,42.666666666666664,0,0,0,0,medium
5,0,4,1,0,3,2,1,4,9.0,8.73,31.5,2,40,27,25.0,0,0,1,0,medium
2,0,1,1,0,0,2,1,1,3.0,2.53,64.5,0,45,0,0.0,0,0,1,0,low
2,0,1,1,0,0,2,1,1,4.0,3.01,54.54,0,50,13,13.0,0,0,0,0,low
1,0,0,1,0,0,1,1,0,6.0,5.77,80.73,1,30,29,21.0,0,0,0,0,low
0,0,0,0,0,0,0,0,0,1.0,0.84,13.82,0,7,0,0.0,0,0,0,0,low
3,2,1,0,0,3,0,3,0,5.0,2.85,71.82,2,47,44,32.0,0,0,0,0,medium
2,1,1,0,0,2,0,1,1,8.0,4.77,59.22,4,72,30,20.0,0,0,0,0,medium
4,1,3,0,1,1,2,1,3,13.0,8.28,71.56,4,48,27,27.0,0,0,0,0,high
6,1,4,1,3,2,1,5,1,10.0,5.25,41.27,3,139,78,48.0,2,0,0,0,critical
2,1,1,0,1,1,0,0,2,9.0,7.28,72.4,3,81,80,60.333333333333336,1,0,1,0,critical
0,0,0,0,0,0,0,0,0,2.0,1.24,80.9,0,20,0,0.0,0,0,0,0,low
4,0,4,0,3,0,1,1,3,18.0,13.39,33.76,7,49,28,28.0,2,0,0,0,critical
2,1,1,0,0,1,1,2,0,5.0,2.96,78.21,4,43,25,17.5,0,0,0,0,medium
3,1,2,0,0,3,0,2,1,7.0,4.42,81.6,4,16,40,34.5,0,0,0,0,medium
1,0,0,1,0,0,1,0,1,5.0,3.08,67.5,3,32,17,12.5,0,0,0,0,low
6,1,3,2,3,1,2,2,4,16.0,14.29,55.5,3,136,47,39.333333333333336,1,0,0,0,critical
0,0,0,0,0,0,0,0,0,5.0,2.56,43.18,2,5,28,24.333333333333332,0,0,0,0,low
5,1,4,0,3,2,0,2,3,11.0,10.96,12.19,3,51,47,47.0,1,0,0,0,critical
5,1,3,1,0,3,2,2,3,10.0,6.93,41.26,3,58,20,17.666666666666668,0,0,0,0,medium
3,2,1,0,0,3,0,2,1,6.0,4.68,38.83,4,39,50,30.0,0,0,0,0,medium
4,1,2,1,0,3,1,1,3,10.0,6.42,25.71,2,16,48,40.666666666666664,0,0,1,0,medium
4,1,2,1,0,3,1,1,3,9.0,6.52,33.1,3,36,30,21.333333333333332,0,0,0,0,medium
2,1,0,1,0,1,1,1,1,9.0,7.88,38.47,1,21,41,33.333333333333336,0,0,0,0,medium
2,0,0,2,0,0,2,0,2,3.0,2.62,20.16,0,12,23,16.666666666666668,0,0,0,0,low
2,0,2,0,2,0,0,1,1,9.0,5.55,47.04,7,134,71,56.666666666666664,1,0,0,0,critical
5,2,2,1,2,2,1,2,3,15.0,11.91,61.37,6,74,52,43.0,1,0,0,0,critical
1,0,1,0,0,0,1,1,0,3.0,2.48,46.06,1,50,26,14.333333333333334,0,0,0,0,low
2,2,0,0,0,2,0,1,1,5.0,2.62,47.29,4,70,41,34.0,0,0,0,0,medium
1,1,0,0,0,1,0,0,1,9.0,5.87,47.54,3,51,23,23.0,0,0,1,0,medium
5,2,1,2,1,2,2,3,2,7.0,5.53,36.16,4,57,46,33.5,0,1,0,0,high
1,0,1,0,1,0,0,0,1,8.0,7.87,44.83,5,31,22,22.0,0,0,0,0,high
1,0,0,1,0,0,1,0,1,6.0,3.84,79.34,1,18,26,20.5,0,0,1,0,low
0,0,0,0,0,0,0,0,0,3.0,1.69,59.2,3,30,0,0.0,0,0,0,0,low
3,0,3,0,2,0,1,3,0,6.0,5.32,59.8,4,24,37,26.0,0,2,0,0,high
4,1,2,1,1,1,2,2,2,7.0,6.56,14.15,2,74,27,27.0,0,2,0,0,high
0,0,0,0,0,0,0,0,0,1.0,0.74,28.18,2,14,30,22.0,0,0,0,0,low
4,1,3,0,2,1,1,1,3,8.0,5.88,10.62,7,30,42,40.0,1,0,1,0,critical
3,1,2,0,2,1,0,3,0,12.0,9.54,54.87,5,30,49,35.0,0,3,0,0,high
4,1,2,1,1,1,2,1,3,8.0,5.22,42.27,2,56,46,46.0,0,1,0,0,high
5,1,4,0,0,3,2,3,2,9.0,5.6,47.28,2,80,39,21.666666666666668,0,0,0,0,medium
1,1,0,0,0,1,0,1,0,9.0,7.58,54.28,2,74,32,32.0,0,0,0,0,medium
5,2,1,2,0,3,2,4,1,9.0,7.68,23.16,4,31,23,19.0,0,0,1,0,medium
3,0,2,1,0,1,2,0,3,5.0,2.93,29.47,1,64,46,46.0,0,0,0,0,medium
1,0,1,0,1,0,0,1,0,13.0,8.48,65.21,3,84,21,21.0,0,3,0,0,high
0,0,0,0,0,0,0,0,0,5.0,4.22,27.34,1,46,29,29.0,0,0,0,0,low
4,1,2,1,2,1,1,3,1,19.0,10.3,22.02,7,138,38,38.0,1,0,0,0,critical
2,1,0,1,0,1,1,1,1,10.0,5.09,66.93,2,51,36,29.666666666666668,0,0,0,0,medium
1,0,1,0,0,0,1,1,0,1.0,0.89,22.43,3,6,18,16.0,0,0,0,0,low
2,0,1,1,1,0,1,1,1,6.0,5.45,48.18,3,42,37,30.333333333333332,1,0,1,0,high
6,2,3,1,2,2,2,5,1,11.0,5.87,72.64,4,30,44,44.0,0,0,0,0,high
3,3,0,0,0,3,0,1,2,6.0,4.39,31.67,3,79,36,36.0,0,0,0,0,medium
1,0,1,0,0,1,0,1,0,3.0,2.17,47.79,4,70,48,48.0,0,0,0,0,medium
2,0,2,0,1,1,0,1,1,19.0,17.54,42.16,6,134,70,45.0,1,0,0,0,critical
3,1,2,0,2,1,0,2,1,18.0,12.41,51.45,3,139,45,45.0,2,0,0,0,critical
1,0,1,0,0,1,0,0,1,9.0,5.29,41.82,3,23,35,34.5,0,0,0,0,medium
4,0,3,1,3,0,1,3,1,11.0,9.54,35.88,6,114,56,44.5,0,0,0,0,critical
4,1,2,1,2,1,1,3,1,13.0,12.32,42.14,4,47,20,19.0,0,3,0,0,high
3,0,3,0,1,2,0,0,3,9.0,5.93,50.61,4,66,48,40.0,0,1,0,0,high
4,0,2,2,2,0,2,2,2,5.0,4.52,66.83,2,28,33,32.0,0,3,0,0,high
2,0,1,1,0,0,2,2,0,1.0,0.65,78.08,1,44,0,0.0,0,0,1,0,low
1,0,1,0,1,0,0,0,1,14.0,7.26,66.18,5,82,31,31.0,1,0,1,0,high
4,0,3,1,3,0,1,1,3,11.0,6.11,53.06,3,30,78,78.0,2,0,0,0,critical
3,0,2,1,2,0,1,0,3,10.0,6.08,24.32,4,63,48,32.25,1,0,0,0,high
1,0,1,0,0,0,1,0,1,1.0,0.77,15.22,0,50,26,16.0,0,0,0,0,low
4,1,1,2,1,1,2,1,3,10.0,5.72,15.8,5,22,53,40.5,0,0,0,0,high
3,2,1,0,0,3,0,2,1,7.0,5.89,56.62,3,23,49,39.333333333333336,0,0,0,0,medium
5,0,4,1,3,0,2,4,1,16.0,15.76,35.35,3,75,51,42.0,1,0,0,0,critical
1,0,0,1,0,0,1,0,1,1.0,0.98,11.8,1,24,27,27.0,0,0,0,0,low
3,0,1,2,1,0,2,1,2,16.0,11.65,66.17,4,86,58,57.5,1,0,0,0,critical
3,3,0,0,0,3,0,1,2,3.0,1.71,51.93,1,45,36,36.0,0,0,0,0,medium
3,0,3,0,3,0,0,0,3,8.0,6.27,53.7,7,130,46,32.75,1,0,0,0,critical
3,0,2,1,0,1,2,1,2,3.0,2.07,35.01,2,25,46,45.5,0,0,0,0,medium
6,1,4,1,3,2,1,4,2,17.0,13.63,78.26,5,65,67,38.0,0,0,1,0,critical
4,1,3,0,0,3,1,3,1,8.0,5.17,72.21,4,50,40,29.333333333333332,0,0,0,0,medium
5,1,4,0,3,2,0,2,3,11.0,10.22,10.92,7,124,22,22.0,0,0,1,0,critical
3,1,1,1,0,2,1,2,1,10.0,8.17,25.69,3,78,37,31.0,0,0,0,0,medium
4,0,4,0,0,2,2,0,4,9.0,4.84,33.98,1,76,30,30.0,0,0,1,0,medium
4,1,3,0,2,2,0,2,2,5.0,4.01,25.46,2,88,56,49.25,1,0,1,0,high
1,0,1,0,0,0,1,1,0,4.0,2.46,61.33,1,39,11,10.5,0,0,0,0,low
2,0,0,2,0,0,2,2,0,3.0,2.0,40.1,2,49,24,22.5,0,0,0,0,low
3,1,2,0,1,2,0,0,3,13.0,10.25,47.04,3,83,48,41.5,1,0,1,0,high
3,0,3,0,2,0,1,2,1,8.0,5.88,41.74,2,31,50,41.5,1,0,1,0,high
3,1,2,0,0,3,0,3,0,7.0,5.8,25.38,2,49,40,38.0,0,0,0,0,medium
4,0,3,1,1,1,2,4,0,12.0,7.33,71.24,3,50,75,55.25,0,0,0,0,critical
5,0,4,1,3,0,2,3,2,18.0,14.08,55.89,5,104,74,58.333333333333336,1,0,1,0,critical
4,1,2,1,2,1,1,3,1,12.0,8.94,51.53,6,121,68,53.5,1,0,1,0,critical
6,0,5,1,2,2,2,5,1,14.0,12.19,70.77,3,73,48,31.0,0,0,0,0,high
3,1,2,0,1,1,1,1,2,11.0,8.2,12.36,5,99,58,58.0,1,0,1,0,high
4,0,3,1,2,0,2,4,0,8.0,7.18,64.42,3,75,56,56.0,0,2,0,0,high
4,1,3,0,2,2,0,2,2,7.0,6.63,82.77,4,22,52,43.0,0,2,0,0,high
4,0,3,1,1,2,1,2,2,13.0,8.39,84.76,3,70,52,40.75,1,0,0,0,high
2,0,2,0,1,0,1,0,2,5.0,3.42,20.44,2,58,51,51.0,1,0,1,0,high
4,1,3,0,0,2,2,2,2,9.0,8.46,56.18,3,56,20,20.0,0,0,0,0,medium
3,0,3,0,0,3,0,3,0,10.0,8.98,62.17,4,24,32,27.0,0,0,1,0,medium
4,2,1,1,1,2,1,3,1,14.0,13.6,76.41,5,56,60,39.0,0,3,0,0,high
1,0,0,1,0,0,1,0,1,5.0,3.08,59.65,3,32,12,12.0,0,0,0,0,low
2,0,2,0,2,0,0,2,0,10.0,8.19,44.53,2,95,28,21.5,0,0,0,0,high
1,0,1,0,0,0,1,1,0,6.0,4.8,14.9,2,18,23,15.666666666666666,0,0,0,0,low
0,0,0,0,0,0,0,0,0,3.0,1.78,17.66,3,21,10,9.0,0,0,0,0,low
4,0,2,2,2,0,2,1,3,8.0,6.11,19.2,5,38,52,50.333333333333336,1,0,0,0,critical
4,1,3,0,1,1,2,1,3,13.0,9.29,34.66,3,62,58,36.5,1,0,0,0,high
